"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"[{""page_index"":0,""viewing_time"":1625},{""page_index"":1,""viewing_time"":886},{""page_index"":2,""viewing_time"":1188}]","3700","instructions","0","3701","0.0-0.0","HIGH",""
"","24765","survey-likert","1","28469","0.0-1.0","HIGH","{""Q0"":6,""Q1"":6,""Q2"":6,""Q3"":6,""Q4"":6,""Q5"":6,""Q6"":6,""Q7"":6,""Q8"":0,""Q9"":6}"
"","54593","survey-likert","2","83065","0.0-2.0","HIGH","{""Q0"":0,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":6,""Q5"":6,""Q6"":0,""Q7"":6,""Q8"":6,""Q9"":6}"
"","30633","survey-likert","3","113701","0.0-3.0","HIGH","{""Q0"":0,""Q1"":6,""Q2"":0,""Q3"":6,""Q4"":0,""Q5"":6,""Q6"":0,""Q7"":6,""Q8"":6,""Q9"":6,""Q10"":6}"
"","12782","survey-likert","4","126484","0.0-4.0","HIGH","{""Q0"":6,""Q1"":6,""Q2"":6,""Q3"":6,""Q4"":6,""Q5"":6,""Q6"":6}"
"","9674","survey-likert","5","136160","0.0-5.0","HIGH","{""Q0"":7,""Q1"":2,""Q2"":5,""Q3"":5}"
"","3914","survey-text","6","140075","0.0-6.0","HIGH","{""Q0"":""FLUTE""}"
"","2645","survey-text","7","142721","0.0-7.0","HIGH","{""Q0"":""99""}"
"","3069","survey-text","8","145791","0.0-8.0","HIGH","{""Q0"":""FEMALE""}"
"","5525","survey-text","9","151317","0.0-9.0","HIGH","{""Q0"":""CANADIAN""}"
"","4341","survey-text","10","155659","0.0-10.0","HIGH","{""Q0"":""CANADA""}"
"","4228","survey-text","11","159887","0.0-11.0","HIGH","{""Q0"":""CANADA""}"
